,,,,,,,,,,,,,,Dalam Jutaan Rupiah / In Millions Rupiah
Laporan Posisi Keuangan / Statement Of Financial Position,,,,,,,,,,,,,,
Asuransi Umum Konvensional/Conventional General Insurance ,,,,,,,,,,,,,,
,Akun,"Januari/
January","Februari/
February","Maret/
March","April/
April","Mei/
May","Juni/
June","Juli/
July","Agustus/
August","September/
September","Oktober/
October","November/
November","Desember/
December",Account
48,Cadangan Klaim ," 49,586,866 "," 50,783,585 "," 52,491,405 "," 56,491,721 "," 55,161,503 "," 55,912,932 "," 56,230,446 "," 55,083,877 "," 54,181,596 "," 52,961,026 "," 53,591,553 "," 52,284,751 ", Claim Reserve 
49,Cadangan atas Risiko Bencana (Catastrophic)," 113,907 "," 93,016 "," 91,222 "," 92,374 "," 93,883 "," 96,205 "," 98,379 "," 98,779 "," 99,746 "," 104,504 "," 92,946 "," 92,095 ", Catastrophic Reserve 
50,Jumlah Cadangan Teknis," 102,276,977 "," 105,302,155 "," 106,530,591 "," 116,387,700 "," 114,978,356 "," 116,712,372 "," 115,677,205 "," 113,659,850 "," 111,830,526 "," 131,632,429 "," 124,178,590 "," 127,110,361 ", Total Technical Reserve 
51,Jumlah Liabilitas," 139,824,755 "," 143,193,265 "," 143,320,502 "," 154,483,301 "," 152,449,673 "," 154,591,604 "," 154,295,076 "," 151,845,657 "," 149,357,496 "," 169,370,446 "," 161,838,073 "," 167,055,318 ", Total Liabilities 
52,Pinjaman Subordinasi," 1,149,292 "," 1,138,859 "," 1,139,102 "," 1,123,320 "," 1,106,945 "," 1,111,195 "," 1,141,695 "," 1,163,270 "," 1,167,170 "," 1,161,170 "," 1,136,470 "," 1,172,708 ", Subordinate Loan 
53,Modal Disetor ," 35,003,080 "," 35,048,082 "," 35,093,082 "," 35,098,852 "," 35,098,852 "," 35,298,852 "," 35,338,852 "," 35,456,765 "," 35,450,995 "," 35,481,765 "," 35,541,765 "," 36,032,765 ", Paid in Capital 
54,Agio Saham," 1,576,047 "," 1,576,048 "," 1,575,831 "," 1,575,758 "," 1,575,577 "," 1,575,233 "," 2,074,168 "," 2,074,168 "," 2,074,168 "," 2,076,439 "," 2,076,439 "," 2,056,724 ", Premium Stock 
55,Saldo Laba," 43,288,838 "," 44,062,569 "," 44,519,035 "," 35,178,573 "," 35,565,067 "," 36,094,990 "," 37,684,257 "," 38,276,148 "," 38,377,839 "," 19,631,837 "," 25,228,698 "," 29,972,729 ", Retained Earning 
56,Komponen Ekuitas Lainnya," 9,212,088 "," 9,245,495 "," 8,995,532 "," 7,879,167 "," 7,987,124 "," 7,667,254 "," 7,498,385 "," 7,878,721 "," 8,415,849 "," 7,830,667 "," 7,404,621 "," 6,623,381 ", Other Equity Components 
57,Jumlah Ekuitas," 89,080,053 "," 89,932,193 "," 90,183,479 "," 79,732,348 "," 80,226,619 "," 80,636,328 "," 82,595,661 "," 83,685,801 "," 84,318,851 "," 65,020,708 "," 70,251,523 "," 74,685,598 ", Total Equities 
58,JUMLAH LIABILITAS DAN EKUITAS ," 230,054,099 "," 234,264,316 "," 234,643,082 "," 235,338,969 "," 233,783,237 "," 236,339,127 "," 238,032,432 "," 236,694,728 "," 234,843,517 "," 235,552,324 "," 233,226,067 "," 242,913,624 ", Total Liabilities and Equities 
,,,,,,,,,,,,,,
,* Pinjaman Polis dikategorikan menjadi instrumen investasi sejak Agustus 2017 berdasarkan POJK nomor 71/POJK.05/2016 tentang Kesehatan Keuangan Perusahaan Asuransi dan Perusahaan Reasuransi,,,,,,,,,,,,,
,"** Penambahan jenis investasi ""Obligasi Daerah"" dan ""Dana Investasi Infrastruktur Berbentuk Kontrak Investasi Kolektif"" berdasarkan POJK nomor 27/POJK.05/2018",,,,,,,,,,,,,
